row_identifier,reason,approved_fdc_food,data_type,detail
03010132:IP6,duplicate,HTY BROAD BEAN,branded_food,"3 Food rows match, no override supplied: food_id=197257:fdc_id=572165, food_id=197262:fdc_id=572170, food_id=197266:fdc_id=572174"
03010132:IPSUM,duplicate,HTY BROAD BEAN,branded_food,"3 Food rows match, no override supplied: food_id=197257:fdc_id=572165, food_id=197262:fdc_id=572170, food_id=197266:fdc_id=572174"
03010133:IP5_A_IP6,duplicate,HTY BROAD BEAN,branded_food,"3 Food rows match, no override supplied: food_id=197257:fdc_id=572165, food_id=197262:fdc_id=572170, food_id=197266:fdc_id=572174"
03010216:PHYT-,duplicate,Harmons Inc DARK RED KIDNEY BEANS,branded_food,"7 Food rows match, no override supplied: food_id=116219:fdc_id=458670, food_id=116228:fdc_id=458681, food_id=483704:fdc_id=1262719, food_id=653600:fdc_id=1554779, food_id=653609:fdc_id=1554790, food_id=981965:fdc_id=2064305, food_id=981971:fdc_id=2064313"
03010437:PHYTCPP,duplicate,"BLACK BEANS, BLACK",branded_food,"2 Food rows match, no override supplied: food_id=1365984:fdc_id=2653915, food_id=1377758:fdc_id=2668041"
03010511:PHYTC-,duplicate,STATER BROS. LIMA BEANS,branded_food,"2 Food rows match, no override supplied: food_id=189851:fdc_id=561575, food_id=210157:fdc_id=590151"
03010511:PP-,duplicate,STATER BROS. LIMA BEANS,branded_food,"2 Food rows match, no override supplied: food_id=189851:fdc_id=561575, food_id=210157:fdc_id=590151"
03010512:PHYTC-,duplicate,STATER BROS. LIMA BEANS,branded_food,"2 Food rows match, no override supplied: food_id=189851:fdc_id=561575, food_id=210157:fdc_id=590151"
03010512:PP-,duplicate,STATER BROS. LIMA BEANS,branded_food,"2 Food rows match, no override supplied: food_id=189851:fdc_id=561575, food_id=210157:fdc_id=590151"
03010513:PHYTC-,duplicate,STATER BROS. LIMA BEANS,branded_food,"2 Food rows match, no override supplied: food_id=189851:fdc_id=561575, food_id=210157:fdc_id=590151"
03010513:PP-,duplicate,STATER BROS. LIMA BEANS,branded_food,"2 Food rows match, no override supplied: food_id=189851:fdc_id=561575, food_id=210157:fdc_id=590151"
03020027:PHYTCPP,duplicate,"Bob's Red Mill Natural Foods, Inc. TEXTURED VEGETABLE PROTEIN",branded_food,"6 Food rows match, no override supplied: food_id=20653:fdc_id=1124109, food_id=267239:fdc_id=733492, food_id=753903:fdc_id=1698648, food_id=920554:fdc_id=1972519, food_id=1167565:fdc_id=2392801, food_id=1380568:fdc_id=2671857"
06010131:IP6,duplicate,"Meijer, Inc. BLANCHED PEANUTS",branded_food,"6 Food rows match, no override supplied: food_id=598681:fdc_id=1478025, food_id=613795:fdc_id=1499330, food_id=948843:fdc_id=2017484, food_id=958060:fdc_id=2030913, food_id=1348728:fdc_id=2627183, food_id=1359734:fdc_id=2640956"
06010132:IP6,duplicate,"Meijer, Inc. BLANCHED PEANUTS",branded_food,"6 Food rows match, no override supplied: food_id=598681:fdc_id=1478025, food_id=613795:fdc_id=1499330, food_id=948843:fdc_id=2017484, food_id=958060:fdc_id=2030913, food_id=1348728:fdc_id=2627183, food_id=1359734:fdc_id=2640956"
06010133:IP6,duplicate,"Meijer, Inc. BLANCHED PEANUTS",branded_food,"6 Food rows match, no override supplied: food_id=598681:fdc_id=1478025, food_id=613795:fdc_id=1499330, food_id=948843:fdc_id=2017484, food_id=958060:fdc_id=2030913, food_id=1348728:fdc_id=2627183, food_id=1359734:fdc_id=2640956"
06010182:PHYTC-,duplicate,"Meijer, Inc. RAW WALNUTS",branded_food,"5 Food rows match, no override supplied: food_id=69639:fdc_id=393936, food_id=69640:fdc_id=393937, food_id=241893:fdc_id=661326, food_id=446603:fdc_id=1204242, food_id=525839:fdc_id=1331578"
06010183:PHYTCPP,duplicate,"Meijer, Inc. RAW WALNUTS",branded_food,"5 Food rows match, no override supplied: food_id=69639:fdc_id=393936, food_id=69640:fdc_id=393937, food_id=241893:fdc_id=661326, food_id=446603:fdc_id=1204242, food_id=525839:fdc_id=1331578"
14030005:PHYTC-,duplicate,San Franola GRANOLA,branded_food,"6 Food rows match, no override supplied: food_id=112335:fdc_id=453631, food_id=112336:fdc_id=453632, food_id=480927:fdc_id=1258709, food_id=480928:fdc_id=1258710, food_id=650526:fdc_id=1550776, food_id=650527:fdc_id=1550777"
17010007:PHYTC-,duplicate,"Bob's Red Mill Natural Foods, Inc. TEXTURED VEGETABLE PROTEIN",branded_food,"6 Food rows match, no override supplied: food_id=20653:fdc_id=1124109, food_id=267239:fdc_id=733492, food_id=753903:fdc_id=1698648, food_id=920554:fdc_id=1972519, food_id=1167565:fdc_id=2392801, food_id=1380568:fdc_id=2671857"
17010008:PHYTC-,duplicate,"Bob's Red Mill Natural Foods, Inc. TEXTURED VEGETABLE PROTEIN",branded_food,"6 Food rows match, no override supplied: food_id=20653:fdc_id=1124109, food_id=267239:fdc_id=733492, food_id=753903:fdc_id=1698648, food_id=920554:fdc_id=1972519, food_id=1167565:fdc_id=2392801, food_id=1380568:fdc_id=2671857"
17010009:PHYTC-,duplicate,"Bob's Red Mill Natural Foods, Inc. TEXTURED VEGETABLE PROTEIN",branded_food,"6 Food rows match, no override supplied: food_id=20653:fdc_id=1124109, food_id=267239:fdc_id=733492, food_id=753903:fdc_id=1698648, food_id=920554:fdc_id=1972519, food_id=1167565:fdc_id=2392801, food_id=1380568:fdc_id=2671857"
